LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:35.274000,11.0,STR,18,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:32.941000,0 days 00:00:39.691000,,0 days 00:33:44.674000,0 days 00:34:24.438000,296.0,225.0,136.0,307.0,False,SOFT,1.0,True,Racing Point,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:01:58.807000,10.0,STR,18,0 days 00:35:22.220000,2.0,1.0,,,0 days 00:00:24.685000,0 days 00:00:57.500000,0 days 00:00:36.622000,0 days 00:34:49.010000,0 days 00:35:46.510000,0 days 00:36:23.132000,261.0,128.0,209.0,155.0,True,SOFT,2.0,True,Racing Point,0 days 00:34:24.325000,2020-07-12 13:14:26.347,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,34.7,945.8,False,41.0,90,2.3
0 days 00:01:41.123000,10.0,STR,18,0 days 00:37:22.219000,3.0,1.0,,,0 days 00:00:26.334000,0 days 00:00:44.532000,0 days 00:00:30.257000,0 days 00:36:49.466000,0 days 00:37:33.998000,0 days 00:38:04.255000,182.0,160.0,279.0,259.0,True,SOFT,3.0,True,Racing Point,0 days 00:36:23.132000,2020-07-12 13:16:25.154,4,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.4,945.8,False,41.6,85,2.1
0 days 00:01:12.360000,10.0,STR,18,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:18.041000,0 days 00:00:32.169000,0 days 00:00:22.150000,0 days 00:38:22.296000,0 days 00:38:54.465000,0 days 00:39:16.615000,299.0,230.0,278.0,298.0,True,SOFT,4.0,True,Racing Point,0 days 00:38:04.255000,2020-07-12 13:18:06.277,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:10.658000,9.0,STR,18,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.512000,0 days 00:00:31.511000,0 days 00:00:21.635000,0 days 00:39:34.127000,0 days 00:40:05.638000,0 days 00:40:27.273000,316.0,226.0,278.0,294.0,True,SOFT,5.0,True,Racing Point,0 days 00:39:16.615000,2020-07-12 13:19:18.637,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:10.808000,9.0,STR,18,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.723000,0 days 00:00:31.150000,0 days 00:00:21.935000,0 days 00:40:44.996000,0 days 00:41:16.146000,0 days 00:41:38.081000,313.0,230.0,282.0,317.0,False,SOFT,6.0,True,Racing Point,0 days 00:40:27.273000,2020-07-12 13:20:29.295,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:10.268000,9.0,STR,18,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.134000,0 days 00:00:31.090000,0 days 00:00:22.044000,0 days 00:41:55.215000,0 days 00:42:26.305000,0 days 00:42:48.349000,319.0,233.0,284.0,312.0,False,SOFT,7.0,True,Racing Point,0 days 00:41:38.081000,2020-07-12 13:21:40.103,1,True,TRACK LIMITS AT TURN 9,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:10.483000,9.0,STR,18,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.230000,0 days 00:00:31.189000,0 days 00:00:22.064000,0 days 00:43:05.579000,0 days 00:43:36.768000,0 days 00:43:58.832000,318.0,226.0,283.0,314.0,True,SOFT,8.0,True,Racing Point,0 days 00:42:48.349000,2020-07-12 13:22:50.371,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:10.332000,9.0,STR,18,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.214000,0 days 00:00:31.383000,0 days 00:00:21.735000,0 days 00:44:16.046000,0 days 00:44:47.429000,0 days 00:45:09.164000,315.0,223.0,284.0,315.0,True,SOFT,9.0,True,Racing Point,0 days 00:43:58.832000,2020-07-12 13:24:00.854,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:10.479000,9.0,STR,18,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.282000,0 days 00:00:31.478000,0 days 00:00:21.719000,0 days 00:45:26.446000,0 days 00:45:57.924000,0 days 00:46:19.643000,,225.0,283.0,312.0,False,SOFT,10.0,True,Racing Point,0 days 00:45:09.164000,2020-07-12 13:25:11.186,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
